id;name;short_description;full_description;main_goals;estimated_duration_time;last_performed_date;created_at;activation_status;type_of_activity_id
1;fondly;wherever;than;backyard brr abbey;11708;2024-06-09;2024-06-09T08:33:26;ON_HOLD;1
2;phooey;lazily when thirst;eek yahoo grumpy;ha valuable kiddingly;17631;2024-06-09;2024-06-09T15:49:31;PENDENT;2
3;whoa generously through;toward jovially lotion;thoroughly briskly concerning;vice broach sleepily;13301;2024-06-09;2024-06-09T08:56:25;PENDENT;3
4;purl;whoever zowie whenever;verbally gleaming wherever;amidst;16694;2024-06-09;2024-06-09T10:55:23;INACTIVE;4
5;unabashedly yowza bitterly;into as circulate;kiddingly;whenever;17645;2024-06-09;2024-06-09T00:36:38;ACTIVE;5
6;always;a pinafore;as even;though vice spur;32593;2024-06-09;2024-06-09T08:05:13;PENDENT;6
7;as around fatherly;questionably uncork now;aha geez;ouch nor cornmeal;24725;2024-06-08;2024-06-09T11:57:56;INACTIVE;7
8;badly;chairman dawdle;shark;gleeful;25482;2024-06-09;2024-06-09T01:21:47;BLOCKED;8
9;that chiffonier um;past;geez energetically betide;until as whereas;16360;2024-06-08;2024-06-09T13:46:08;INVALID;9
10;but frizzle inquisitively;generously;why;ugh pish;23057;2024-06-09;2024-06-09T07:22:09;PENDENT;10
