id;inventory_product_id;sku_code;custom_name;custom_description;price_value;item_size;activation_status
1;11176;perceive;awkwardly;empathize;22916.36;XL;ON_HOLD
2;26764;circumference aw near;cash;libel downright whether;586.77;S;INACTIVE
3;24926;instead usefully inquisitively;winding gently;towards;9301.35;XL;ACTIVE
4;19000;acidly audition;safely;tangle mild even;11613.12;XXXL;ACTIVE
5;26477;tomorrow yum;hm coaxingly;fortunately hence unfasten;13320.02;XXL;INVALID
6;27074;as or fooey;toe perch;quiet nudge crisis;1620.99;XL;BLOCKED
7;5825;offensively till pedal;hunger;so intently by;2713.76;S;BLOCKED
8;9154;vest than next;which er indeed;scrim overstay;17958.82;XXL;BLOCKED
9;9351;unabashedly save as;wolf however about;opposite relapse rain;3502.7;S;INACTIVE
10;24105;cart victim;curiously whether;dynamite;11617.1;XL;ACTIVE
