id;acronym;public_name;real_name;biography_details_json;type_of_artmedia_id;type_of_artist_id
1;forsaken gosh ouch;backpack;whip sheath decent;inquisitively against blah;1;1
2;squeeze oh nor;afore;fairly;survival thump pfft;2;2
3;so;truthfully;often;caterpillar seldom;3;3
4;research regarding whenever;solidarity victoriously;wherever;almost atop hm;4;4
5;yuck stumbling phooey;sire guilty wait;after ick;excluding;5;5
6;since prickly;while ha past;offensively;nor;6;6
7;aside regarding woeful;where against vibrant;er;chaff;7;7
8;following because;wildly opposite;deadly sip container;notwithstanding chapel;8;8
9;beech whenever meanwhile;even hm plain;supposing for ice;amongst beneficial;9;9
10;after round even;variable loudly given;mmm why;forthright yippee;10;10
