id;artwork_title;production_year;season_number;episode_or_sequence_number;register_id_in_imdb;assets_collection_uuid;content_details_json;type_of_artmedia_id
1;warmhearted how;29282;22998;16468;curiously uh-huh;webbed;wide-eyed;1
2;how;12390;6705;2461;wetly blah;whether;gun abnormally;2
3;scarcely exterminate prowl;13846;29717;30467;reproachfully darling;inside abaft journalist;oof step-sister out;3
4;excluding geez;17021;9556;10787;mostly er;wrong drat or;wonderfully though;4
5;aunt round;3510;26976;25924;motionless until subdue;who blinker;cytokine uh-huh expansion;5
6;however mysterious;14165;8732;29297;blood;load burrito;huzzah generously;6
7;gentleman chemotaxis;21175;16083;12703;emulsify duh;beside;vivaciously;7
8;gather transport;7365;8165;4072;separately groom;um yahoo jittery;regarding sentimental shrill;8
9;senior;17508;9860;26899;powerfully bill moist;politely heavy;basic deepen;9
10;whenever sociable fairly;15468;8289;2635;whenever why anti;an;but woot;10
