id;order_of_appearance;character_name;main_asset_uuid;character_details_json;artwork_id;artist_id
1;25214;dimpled;through;blah;1;1
2;28615;fortress;subsidize pro;suddenly whenever;2;2
3;11075;alongside drat darn;especially inasmuch yearly;an wherever once;3;3
4;22474;vital;bail adventurously generously;yippee despite square;4;4
5;20470;filthy continually;generally;ecstatic half-brother jade;5;5
6;3152;ew mmm;weary tutor for;series before extremely;6;6
7;6065;anenst cramp;huzzah sore;yuck;7;7
8;17349;apropos;less lest beautiful;glory yippee pootle;8;8
9;28959;inside corrupt bandage;incidentally ick misreport;gee profuse knotty;9;9
10;11841;ha drat;expensive;positively;10;10
