id;acronym;name;description;logo_brand;logo_brand_content_type
1;briefly dim;enable;perfectly now sizzling;../fake-data/blob/hipster.png;image/png
2;nor although positiv;ha;resemblance opposite;../fake-data/blob/hipster.png;image/png
3;incidentally ugh bas;unbearably metronome;offensively alligator without;../fake-data/blob/hipster.png;image/png
4;loud meanwhile;discharge amid;statute sizzling unnaturally;../fake-data/blob/hipster.png;image/png
5;minus candid;phooey aha until;beneficiary well;../fake-data/blob/hipster.png;image/png
6;until gosh creamy;not um;apse ew favour;../fake-data/blob/hipster.png;image/png
7;lynx partial insert;via misfit;whose;../fake-data/blob/hipster.png;image/png
8;regenerate phooey;lot;major;../fake-data/blob/hipster.png;image/png
9;frank self-esteem in;genuine yippee happily;but into;../fake-data/blob/hipster.png;image/png
10;poorly;anenst against sweeten;wherever supposing configure;../fake-data/blob/hipster.png;image/png
