id;acronym;hierarchical_level;name;activation_status;organization_id
1;after;strobe whoever;class skimp;ACTIVE;1
2;irritably thunderous;as vane skive;aha mouser;INVALID;2
3;eek;boohoo patiently;until;INVALID;3
4;dislodge export;since geez ding;excluding psst;BLOCKED;4
5;colorfully;segment flickering;phew;INVALID;5
6;lose;astrolabe;gee excited elm;INACTIVE;6
7;sedately remake impr;kindhearted;overfly standardize or;BLOCKED;7
8;disgusting psst safe;spot;alongside encumber;ACTIVE;8
9;gah markup;of nose until;unlike;BLOCKED;9
10;emote cultured hence;phew;pillow formal or;INACTIVE;10
