id;acronym;name;description;handler_clazz_name
1;phooey lose;if violently following;yahoo abnormally;potable yahoo rural
2;winds barring go;by yippee;towards zowie official;mistrust heartfelt
3;until;worriedly horse;straight;boo
4;tremendously to exalted;pfft meh forenenst;carefully;intrepid
5;around nerve;gold whether;thorough;even inasmuch abaft
6;alienated debilitate muddy;woot but;out considering yet;glum
7;safely;past;forenenst almost that;since onto consumer
8;brake declaration kangaroo;mid till;boohoo beneficiary;star
9;on trill;queasily times designer;hmph assign than;because after
10;till doubtfully superb;insidious collectivisation;embryo monthly;weight paper
