id;acronym;name;continent;geo_polygon_area;geo_polygon_area_content_type
1;aga;flawed;ASIA;../fake-data/blob/hipster.png;image/png
2;hal;vocalize while;CENTRAL_AMERICA;../fake-data/blob/hipster.png;image/png
3;spr;junior accountant;SOUTH_AMERICA;../fake-data/blob/hipster.png;image/png
4;ina;before christen besides;CENTRAL_AMERICA;../fake-data/blob/hipster.png;image/png
5;aqu;whether plush frightening;NORTH_AMERICA;../fake-data/blob/hipster.png;image/png
6;ew ;misunderstand toward;EUROPE;../fake-data/blob/hipster.png;image/png
7;exc;unlike;SOUTH_AMERICA;../fake-data/blob/hipster.png;image/png
8;yow;beware between;OCEANIA;../fake-data/blob/hipster.png;image/png
9;qua;of;SOUTH_AMERICA;../fake-data/blob/hipster.png;image/png
10;com;internal;SOUTH_AMERICA;../fake-data/blob/hipster.png;image/png
