id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;town_city_id
1;though h;white;../fake-data/blob/hipster.png;image/png;1
2;at;laborer;../fake-data/blob/hipster.png;image/png;2
3;enfold;aha backfire;../fake-data/blob/hipster.png;image/png;3
4;quiz pre;fixed allude;../fake-data/blob/hipster.png;image/png;4
5;marvel;ack;../fake-data/blob/hipster.png;image/png;5
6;knock;by perfectly;../fake-data/blob/hipster.png;image/png;6
7;interpen;encumber rubbish nick;../fake-data/blob/hipster.png;image/png;7
8;sedately;unto notoriety kiddingly;../fake-data/blob/hipster.png;image/png;8
9;woot;off weakly;../fake-data/blob/hipster.png;image/png;9
10;beyond a;play inspector;../fake-data/blob/hipster.png;image/png;10
