id;acronym;name;description;full_description;start_time;end_time;default_ticket_value;status;activation_status;type_of_event_id
1;important edible peach;as;sword;pole expectorate;2024-06-09T14:08:29;2024-06-09T05:04:55;3320.93;CANCELLED;PENDENT;1
2;velvety;frightfully distill until;mockingly;flower serpentine after;2024-06-08T22:23:47;2024-06-09T12:12:29;6490.27;DELETED;ACTIVE;2
3;down enormously;alive fooey valiantly;unsightly yum;where;2024-06-09T05:15:09;2024-06-09T14:59:06;21068.11;IN_PREVIEM;BLOCKED;3
4;at thankfully;gah;acidly tomorrow because;indeed round eek;2024-06-09T16:21:59;2024-06-09T02:45:30;23720.93;CONFIRMED;INVALID;4
5;finally exhaustion an;sweetly uniform;without dusk;vain;2024-06-09T12:49:32;2024-06-09T16:20:32;32680.18;RUNNING;BLOCKED;5
6;so lost;nervously likewise;however cuddly gee;phew dismal fast;2024-06-09T14:44:32;2024-06-09T15:28:26;23612.63;CANCELLED;INVALID;6
7;sentimental about;unexpectedly;press;broom huzzah;2024-06-09T00:17:01;2024-06-09T06:46:08;6211.11;DRAFT;INACTIVE;7
8;lazily vivid dob;prise identical frightfully;which batch healthily;pale lest mismanage;2024-06-09T05:34:12;2024-06-09T12:52:49;17363.95;CANCELLED;PENDENT;8
9;whenever repeatedly;oof;likewise;ew convene;2024-06-09T13:01:45;2024-06-08T17:00:19;1989.97;CANCELLED;INACTIVE;9
10;scallops;cluck lawful;given;repeat;2024-06-09T01:38:37;2024-06-09T01:28:33;6919.82;CONFIRMED;ACTIVE;10
