id;attended_as_role;was_present_in_event;should_buy_ticket;ticket_number;seat_number
1;on whether queasily;false;false;delightfully;coolly
2;corkscrew;true;true;subdivide;knowledgea
3;treasured owlishly;true;true;where considering yo;carefully 
4;noisily half eggnog;true;false;whenever step-sister;ridge usel
5;canter;false;true;cyclone scarf arcade;view yuck
6;tenor;false;true;service woof;regarding 
7;blind extension;false;true;yet shrill ethical;blindly he
8;unto yawning;false;true;lighthearted;instead wh
9;strange several;true;false;aw even advocacy;dizzy pfft
10;irresponsible;false;true;while;resort
