id;business_code;placed_date;total_tax_value;total_due_value;status;estimated_delivery_date;activation_status;customer_id
1;sock afore;2024-06-09T15:29:28;8157.41;7189.52;PENDING;2024-06-08T20:28:38;INACTIVE;1
2;celebrated girdle th;2024-06-09T16:06:54;2680.22;889.33;COMPLETED;2024-06-09T06:20:55;INACTIVE;2
3;brightly;2024-06-09T09:25:31;4201.49;12621.61;CANCELLED;2024-06-08T20:05:21;INVALID;3
4;those forenenst;2024-06-09T07:44:33;5519.47;10849.32;CANCELLED;2024-06-09T07:39:15;PENDENT;4
5;because;2024-06-09T08:37:20;26421.03;7743.98;PENDING;2024-06-08T21:22:39;PENDENT;5
6;instead reflecting s;2024-06-08T17:54:38;32179.69;10452.42;PENDING;2024-06-09T13:16:24;INVALID;6
7;waterski safely;2024-06-08T20:18:53;31206.53;4128.46;CANCELLED;2024-06-09T14:52:52;ACTIVE;7
8;monger;2024-06-09T01:51:38;29380.29;6345.12;PENDING;2024-06-09T14:33:15;BLOCKED;8
9;yahoo;2024-06-08T22:10:30;26812.93;20241.87;PENDING;2024-06-09T03:30:35;INACTIVE;9
10;pro before;2024-06-09T07:00:46;14910.3;11478.84;PENDING;2024-06-09T08:58:07;ACTIVE;10
