id;domain_acronym;name;is_verified;business_handler_clazz;activation_status;organization_id
1;flaky profile;highly apud duh;true;cliff doing fuzzy;INVALID;1
2;rudely jib;whether;false;ouch;ACTIVE;2
3;validate antler soliloquize;lieu how;true;timely within instead;PENDENT;3
4;boohoo underpin;fooey ack curiously;true;dishonest;BLOCKED;4
5;next;for through exactly;false;mmm circa acclaimed;PENDENT;5
6;since than astride;hydroxyl brief astride;true;testing oversleep;INVALID;6
7;loudly anenst nicely;per other ew;true;forenenst without;INACTIVE;7
8;which;drat whose;true;underneath honeydew supposing;ACTIVE;8
9;individualize;potentially pickle before;true;near crusader phew;BLOCKED;9
10;as;midst;true;safely given yieldingly;BLOCKED;10
