id;installment_number;payment_due_date;payment_paid_date;payment_amount;type_of_payment;status_payment;custom_attributes_details_json;activation_status;payment_gateway_id
1;13794;2024-06-09T11:13:02;2024-06-09T02:49:56;15055.52;CASH;PAID;as;PENDENT;1
2;7636;2024-06-09T07:38:40;2024-06-09T13:07:15;25213.53;CASH;CANCELLED;gaseous yowza;BLOCKED;2
3;11787;2024-06-08T20:56:30;2024-06-09T05:47:55;19229.52;BANK_TRANSFER;DELAYED;usefully misrepresentation heighten;BLOCKED;3
4;5245;2024-06-09T12:45:01;2024-06-08T22:29:14;24410.35;CASH;CANCELLED;mixture;ON_HOLD;4
5;17291;2024-06-08T18:26:10;2024-06-09T04:39:14;4755.22;CASH;CANCELLED;drat;PENDENT;5
6;2766;2024-06-08T22:58:16;2024-06-09T00:32:27;25225.71;DEBIT;DELAYED;lettuce;ON_HOLD;6
7;10926;2024-06-08T19:10:43;2024-06-09T05:51:33;12721.45;CASH;DELAYED;without gah;ON_HOLD;7
8;18475;2024-06-09T10:02:20;2024-06-09T15:28:52;5876.29;DEBIT;DELAYED;zigzag that intrepid;INVALID;8
9;4563;2024-06-09T07:00:16;2024-06-08T22:14:42;10907.07;BANK_TRANSFER;DELAYED;clearly intensely excepting;ACTIVE;9
10;15818;2024-06-08T19:32:59;2024-06-09T00:35:21;4748.56;BANK_TRANSFER;DELAYED;shrilly generously lanky;BLOCKED;10
