id;alias_code;description;business_handler_clazz;activation_status
1;ew cautiously;ethical;evenly legislator humming;PENDENT
2;round mapping apud;yum boo embellished;interconnection rib;ON_HOLD
3;self unlearn um;spite aw;triumphantly toe;ACTIVE
4;filthy separately;vacate lottery;quell;INVALID
5;finally;oh coach midnight;vainly molar fatally;ACTIVE
6;keenly by;highly burglarize anxiously;whether hence unto;ON_HOLD
7;likewise;rear anti;who;BLOCKED
8;an;silver;witty;INVALID
9;harmonize hmph ew;ecstatic;superficial;INACTIVE
10;gummy fresco yum;quarrel dress;hybridization eyeliner daintily;PENDENT
