id;acronym;name;description;full_description;target_public;activation_status
1;oh gee;sparse gaffe;that oof thunderous;pleasing cookbook;on what;INACTIVE
2;phooey unnaturally;nursery worth;when carelessly hmph;under boo plus;though lobster;BLOCKED
3;spectacular lute;squash geez;psst fiction ick;halibut;phew notwithstanding duh;ACTIVE
4;besides;yum certainly while;without;vacant;phew humor willing;INACTIVE
5;unacceptable;streak yowza;minus workout;pish;woozy;ON_HOLD
6;tensely;over that;ambiguity;optimistically around blowgun;evaluate;ACTIVE
7;questionably;arrogantly;so produce;total provided;ouch poetry;PENDENT
8;digital delirious or;warmly testy;geez;sulfur;amidst;INACTIVE
9;incidentally ah banker;researches;less speedy astride;whenever;suppurate;INVALID
10;gratefully;recapitulation meh boo;opposite;after;supposing eek;BLOCKED
