id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;country_id
1;ack;passenger;../fake-data/blob/hipster.png;image/png;1
2;ack;yuck knowing cartilage;../fake-data/blob/hipster.png;image/png;2
3;sav;kookily before increase;../fake-data/blob/hipster.png;image/png;3
4;tru;interleave worth;../fake-data/blob/hipster.png;image/png;4
5;ner;oh yowza;../fake-data/blob/hipster.png;image/png;5
6;thr;ouch;../fake-data/blob/hipster.png;image/png;6
7;aro;serum;../fake-data/blob/hipster.png;image/png;7
8;tut;sepal discrepancy brr;../fake-data/blob/hipster.png;image/png;8
9;yaw;during;../fake-data/blob/hipster.png;image/png;9
10;ref;empty peaceful;../fake-data/blob/hipster.png;image/png;10
