id;name;status_raw_processing;full_filename_path;asset_raw_content_as_blob;asset_raw_content_as_blob_content_type;custom_attributes_details_json;asset_type_id
1;patentee curiously caring;DONE;coax victorious;../fake-data/blob/hipster.png;image/png;furthermore;1
2;balance;UPLOADED;meanwhile;../fake-data/blob/hipster.png;image/png;interlink;2
3;apropos emanate ick;PROCESSING;heist oh a;../fake-data/blob/hipster.png;image/png;incidentally;3
4;southeast falsify ack;PROCESSING;dollarise;../fake-data/blob/hipster.png;image/png;yippee carefully duh;4
5;gadzooks;UPLOADED;for;../fake-data/blob/hipster.png;image/png;pfft experienced;5
6;total;PROCESSING;wallop;../fake-data/blob/hipster.png;image/png;mindless;6
7;blah atop;UPLOADING;yippee;../fake-data/blob/hipster.png;image/png;bluff astride sturdy;7
8;victoriously;PROCESSING;phew than puzzled;../fake-data/blob/hipster.png;image/png;yahoo;8
9;as whose rigidly;DONE;around circle;../fake-data/blob/hipster.png;image/png;deliberately excitedly why;9
10;thankfully;DONE;incidentally worn;../fake-data/blob/hipster.png;image/png;when ah seldom;10
