id;customized_name;start_time;end_time;number_of_attendees;average_evaluation_in_stars;custom_attributtes_details_json;activation_status
1;unless woot;2024-06-09T12:48:57;2024-06-08T21:44:25;26784;24549;curiously;INACTIVE
2;unlike;2024-06-09T04:48:43;2024-06-09T16:23:52;948;10257;lesson the;BLOCKED
3;er very;2024-06-09T09:05:33;2024-06-09T13:37:49;5248;16051;since riddle oh;ON_HOLD
4;blossom;2024-06-09T05:48:51;2024-06-09T02:36:26;31123;2412;circa arrogantly miserable;INACTIVE
5;honestly;2024-06-09T07:31:14;2024-06-08T23:52:38;19415;1187;as or for;PENDENT
6;veto at;2024-06-08T16:53:44;2024-06-08T17:21:11;31983;15828;pronounce elegantly;ON_HOLD
7;civilian;2024-06-09T14:14:01;2024-06-08T19:32:30;17793;24915;amid perpendicular;ON_HOLD
8;swiftly plus whereas;2024-06-09T11:57:32;2024-06-09T04:29:46;18720;7608;super phase;INVALID
9;juxtapose;2024-06-09T14:16:23;2024-06-08T20:41:48;9102;1021;repose;BLOCKED
10;usefully;2024-06-09T02:05:53;2024-06-09T05:12:44;7361;25485;after next while;BLOCKED
