id;last_modified_date;remaining_quantity;common_attributes_details_json;warehouse_id;product_id
1;2024-06-09T16:07:58;27951;hike;1;1
2;2024-06-09T09:58:43;599;owlishly offensively lonely;2;2
3;2024-06-08T20:38:12;21331;cold gah far;3;3
4;2024-06-09T08:59:15;5330;till knowingly wild;4;4
5;2024-06-08T17:15:23;22860;urgently;5;5
6;2024-06-09T01:10:11;5944;pressurization below outside;6;6
7;2024-06-09T09:02:57;3215;unless times mill;7;7
8;2024-06-09T12:19:07;27339;garage;8;8
9;2024-06-09T06:51:54;1374;outside;9;9
10;2024-06-09T08:14:27;26429;adore;10;10
