id;acronym;name;description;customer_business_code;business_handler_clazz;main_contact_person_details_json;billing_details_json;technical_environments_details_json;custom_attributes_details_json;logo_img;logo_img_content_type;activation_status
1;noodle;review bashfully;against cormorant provided;shy;too;fantastic snitch monthly;of;oh wherever quick-witted;creepy until;../fake-data/blob/hipster.png;image/png;ACTIVE
2;yet international;boo decimal;pfft;instead lustrou;outside long-term faint;concerning apropos quiche;merrily through coppice;whether negative whose;stealthily wetly forbid;../fake-data/blob/hipster.png;image/png;BLOCKED
3;anxiously nor;whoa;idolized short-term pacify;devoice arrogan;record discrete;instead thoughtfully offensively;methane;pack;that;../fake-data/blob/hipster.png;image/png;INACTIVE
4;drown;show likable following;embarrassed incidence;mouse pathway;for wet woefully;misconceive;colorize boiling;against;kosher seemingly;../fake-data/blob/hipster.png;image/png;PENDENT
5;incidentally;ack;frenetically delouse on;brown from;nail absent;camouflage gadzooks furthermore;indeed outside;drat the;boo;../fake-data/blob/hipster.png;image/png;BLOCKED
6;underneath versus pa;while as pfft;smile easily insistent;yippee ick;where TV;a hector;why now;across championship yesterday;transfer;../fake-data/blob/hipster.png;image/png;BLOCKED
7;carefully absentmind;hop bidding;natter er initiative;how amid;gadzooks;feed shabby;amongst though;barrel kingfish;irony;../fake-data/blob/hipster.png;image/png;ACTIVE
8;about what;haemorrhage;potentially leading tragedy;past;complicated lively;next hatch;until sit;ick;cheery loftily;../fake-data/blob/hipster.png;image/png;ON_HOLD
9;amidst;macrame;out;rapidly abut jo;snip drat;polenta;enchanting hmph;times whereas;qua stucco;../fake-data/blob/hipster.png;image/png;PENDENT
10;bankroll desert abaf;anenst;playfully traduce brightly;free keystone u;wasteful drat;pungent rebut;who twig;jumble woozy;woot poorly bah;../fake-data/blob/hipster.png;image/png;INACTIVE
