id;buying_code;due_payment_date;amount_of_tickets;tax_value;ticket_value;acquired_seats_numbers;description
1;doubtfully youthfully phew;2024-06-08T20:21:40;5599;13899.78;9090.57;beautifully but;homely
2;loquat physical;2024-06-08T19:05:42;30980;14293.35;5495.22;lacquerware eek;dungarees pristine sternly
3;leptocephalus minus;2024-06-08T18:17:55;1985;5573.39;32352.98;within as;diphthongise lurk at
4;helpfully benefit;2024-06-09T13:02:12;1263;1068.52;14337.07;deeply tinted jet;generous
5;tight skyjack construct;2024-06-09T12:48:59;5233;6084.56;9139.29;meanwhile after oof;jink vastly
6;gah whereas;2024-06-09T09:49:45;8441;16839.06;17033.01;because although;including slaw jovially
7;that;2024-06-09T15:34:24;1205;14230.58;8533.88;busily inasmuch bah;flexibility whether stylish
8;swirl why;2024-06-09T13:28:55;30575;20116.37;21970.59;mmm;cultured schematise
9;coaxingly;2024-06-09T10:55:46;11906;14743.89;7868.01;boo;weak since
10;resistance ruffle;2024-06-08T22:34:59;15271;16161.33;23651.14;fairness amidst extort;reject geez finally
