id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;province_id
1;daily ta;by;../fake-data/blob/hipster.png;image/png;1
2;now line;annually yowza;../fake-data/blob/hipster.png;image/png;2
3;mower ma;instantly at onto;../fake-data/blob/hipster.png;image/png;3
4;amid oh ;havoc unaccountably encouragement;../fake-data/blob/hipster.png;image/png;4
5;vice nor;though wonderful bruised;../fake-data/blob/hipster.png;image/png;5
6;professi;without coaxingly how;../fake-data/blob/hipster.png;image/png;6
7;institut;huzzah hmph;../fake-data/blob/hipster.png;image/png;7
8;ew;fossilize hold;../fake-data/blob/hipster.png;image/png;8
9;finally;bustle debit modulo;../fake-data/blob/hipster.png;image/png;9
10;plaster ;whereas disdain who;../fake-data/blob/hipster.png;image/png;10
