id;acronym;name;description;handler_clazz_name
1;out;abaft yahoo restore;woot;gadzooks fairly
2;mid despite ouch;alongside that;waterlogged now;among usefully
3;rich;freight;gesticulate within;certainly
4;excluding aha duh;between;aha oof;notwithstanding
5;indeed soon athwart;nor;lovingly;gadzooks switching
6;near;audience;whenever;atop always since
7;worth;although;mishandle er whenever;finally or scratch
8;whether;pervade though;as screech reliability;since at
9;knavishly majestically;compel except maelstrom;closely;vainly phooey twist
10;vet pfft across;courageously triple;elastic;pish or
