id;acronym;name;description;handler_clazz_name;custom_attributes_details_json
1;burial truncate agonizing;staple;flatten;by to;onto
2;blah;excellent;wholly pro;boohoo store;misfit where
3;versus growing;lovingly euthanise blaring;desist;wobbly hone;where few in
4;till yahoo;huzzah gah;trifling gosh;bran fast midst;unlike expatiate ferociously
5;bah;fooey apropos fooey;bah;suddenly;finally
6;disadvantage;solemnly unexpectedly loose;rotation past slowly;aw sack moderate;zowie wade gah
7;admired likely hometown;allot bee stove;incidentally ugh roughly;circa gambol past;biff
8;boohoo though;itchy under which;likewise whelp near;and hubcap;brr automatic
9;hmph jubilantly uh-huh;wary gee officially;before forecast mean;where;noisily alongside
10;timeout;insurgence than;supposing once less;per;spray
