id;name;description;business_handler_clazz
1;though;dwell whenever;ouch
2;eek fiercely adjourn;bloodflow loyal;ah whenever once
3;safely;thorny urge;pfft stall sweetly
4;baseball titillate;boohoo eventually bumpy;violently noteworthy
5;neatly delightfully;embellishment forge;nor feminine mmm
6;welcome gee knowledg;excluding cable;after queasy
7;spring;unwelcome extroverted superiority;boo whoa
8;what ew ecumenist;entrance mutate neaten;transplant barring
9;fooey;yuck dimple whelp;sorrowful infiltration hmph
10;who overbalance who;because specify;or castle green
