id;acronym;name;description;handler_clazz_name
1;executive;aha aha puny;truthfully;wilted
2;perambulate yippee masculinize;general vivid;while;sensationalise potable
3;stir instead finished;phew maroon provided;eek versus beyond;apropos
4;knowledgeably cautious;excepting;iterate since tortilla;amongst foolishly
5;insist beep amid;till that um;silicon;um
6;whenever save unto;delightfully than;and what;madly or
7;practice flippant;defer mixed;busily purchase why;until huzzah
8;yahoo;neaten prickly the;within oof upon;well-lit country now
9;so;burp;pfft um bonding;grandma positively beef
10;balaclava comport kookily;briefly against wrongly;ragged inasmuch sudden;besides pfft
