id;acronym;name;description;business_handler_clazz
1;than;atop;or after plain;what dismal
2;arrogantly;enemy dolphin;bah healthily;smell duh overconfidently
3;um awkwardly;unless;blah;aha
4;destabilise vacantly;whether;unruly;organic
5;in;evoke under as;shrilly interestingly;outlook golden
6;pin neuropsychiatry;energetic;psst amongst;ecstatic meanwhile pace
7;unless elbow apropos;initial repeatedly;sadly yum fortunately;regret hence
8;who speak who;painfully merchandise;tremendously noted statistics;detailed
9;wetly;discolor woot plus;via;ack frivolous canalise
10;thongs perforate;skeletal laze;bah;among above toward
