id;acronym;name;description;handler_clazz_name
1;wholly cleverly;rheumatism concept shrilly;gee as;loyally hippopotamus coincidence
2;bask confine;though united;busily simple sweetly;international
3;swiftly high-level;quietly arrogantly;ugh;like clapboard though
4;difficult loosely from;frenetically;woot exactly downright;espadrille poorly notwithstanding
5;per;nor gadzooks bravely;yippee retool;round opposite fair
6;cloth for;resurface rewarding;merry patent from;focused partner
7;upliftingly link;nearly;knock considering;gently worsen
8;heavy;intoxicate phew tweak;film indeed panic;where a sanctuary
9;debrief;favorable;previous condition;oof beside divert
10;boo country amend;around during;eek movies;hm incarnate
