id;acronym;name;description;geo_point_location;geo_point_location_content_type;type_of_venue_id
1;jovially nasalize;concerned lest;well-to-do absent;../fake-data/blob/hipster.png;image/png;1
2;cleverly;gee draft;razz;../fake-data/blob/hipster.png;image/png;2
3;equal plush home;unto;inasmuch;../fake-data/blob/hipster.png;image/png;3
4;even;hungrily sentencing;cruelly;../fake-data/blob/hipster.png;image/png;4
5;which sad;if;since per yieldingly;../fake-data/blob/hipster.png;image/png;5
6;blag;whereas enormously skylight;outside;../fake-data/blob/hipster.png;image/png;6
7;poetry thirst;until reluctantly what;but nicely gong;../fake-data/blob/hipster.png;image/png;7
8;skinny;buzzing outside ouch;sunlight er faithfully;../fake-data/blob/hipster.png;image/png;8
9;credenza;ugh reassign regarding;scream triumphantly phooey;../fake-data/blob/hipster.png;image/png;9
10;which broadly now;against vivaciously;bravely however serial;../fake-data/blob/hipster.png;image/png;10
