id;acronym;name;description;street_address;house_number;location_name;postal_code;point_location;point_location_content_type;main_email;land_phone_number;mobile_phone_number;fax_number;custom_attributes_details_json;activation_status
1;chef;yippee ideal;after along;pasteurize;inasmuch;toward midst;sans;../fake-data/blob/hipster.png;image/png;"Wp@K:a%^|.9+";kindheartedly;whether which;ack;or back;PENDENT
2;slimy;corporatism ajar;toffee;oh yippee;citrus forte;yearly geez;swelterin;../fake-data/blob/hipster.png;image/png;"T@'(-.F]E";outsmart;surprisingly up;busily;uncomfortable amidst drat;ON_HOLD
3;opposite;whether carnival;below at inquisitively;far-off;felony;apud;thick twi;../fake-data/blob/hipster.png;image/png;"bJj2Kp@m.$EKF";oof;ugh;how after;range eek;INVALID
4;toward sternly half-brother;tomorrow beautiful;zebrafish;leptocephalus;outlast voluntarily;elapse;whether a;../fake-data/blob/hipster.png;image/png;"PBI!@dh.{!u";geez slash;dependable dece;forceful worthl;after;ACTIVE
5;fatal now instigate;hourly rumble;poison ew scream;jealous;pushy camp;history bah;physicall;../fake-data/blob/hipster.png;image/png;"RE(eI@^+I_.FFjZ";self-control re;dimly;who synthesise ;weather extra-large blah;INVALID
6;spring geez about;but solemnly;joyful accountability bundle;woot nearly worriedly;following;counterpart scarcely;around mo;../fake-data/blob/hipster.png;image/png;"(!Bb1@g/,m.ogYV";suddenly trauma;granular ah;as broom times;seemingly delirious than;INVALID
7;especially;of timely and;wage serpentine drat;rectangular decent uh-huh;very checkmate than;naturalize;understan;../fake-data/blob/hipster.png;image/png;"~yM+s@&.jGaex";approach meh;lazily complica;naughty foolish;decamp boo fooey;INACTIVE
8;herbs;instead uh-huh;despite gracefully;lost knottily;meaningfully;unethically when sandbag;fatal;../fake-data/blob/hipster.png;image/png;"2Hd@E.y0>";apropos even;an aware slathe;psst than trans;buzz attend;INVALID
9;yuck;jealously eyelashes;festival;sans despite;ferociously uselessl;so;content;../fake-data/blob/hipster.png;image/png;"Skl@:.KhkfG:";fooey phew;pinto practical;output harsh do;save;ACTIVE
10;round great-grandfather volunteering;excepting;whose since instead;dislocate instead;oof;assuage;for;../fake-data/blob/hipster.png;image/png;"Bi@lpM.$";geez;drat fooey lavi;unwitting great;but;BLOCKED
